go	geh
he isnt young	er ist nicht jung
he keeps a cat	er halt eine katze
he lay face up	er lag auf dem rucken
he lay face up	er hat auf dem rucken gelegen
he learns fast	er lernt schnell
he learns fast	er lernt rasch
he likes money	er liebt das geld
he lives alone	er lebt allein
he looked well	er sah gut aus
he looks bored	er sieht gelangweilt aus
he looks happy	er sieht glucklich aus
he looks stern	er sieht ernst aus
he looks young	er sieht jung aus
he lost a book	er verlor ein buch
he loves music	er liebt musik
he needs money	er braucht geld
he owes me one	er ist mir noch etwas schuldig
he respects me	er respektiert mich
he sang a song	er hat ein lied gesungen
he sang a song	er sang ein lied
he saw it too	er hat es auch gesehen
he scolded her	er schimpfte mit ihr
he seems happy	er sieht glucklich aus
he seems tired	er scheint mude zu sein
he sells fruit	er verkauft obst
he sold us out	er hat uns verraten
he talks a lot	er redet viel
he trusted you	er vertraute dir
he trusted you	er hat dir vertraut
he wants to go	er will gehen
he was english	er war englander
he was at home	er war zuhause
he was at home	er war zu hause
he was perfect	er war perfekt
he was perfect	er hat das perfekt gemacht
he was stunned	er war wie gelahmt
he was thirsty	er war durstig
he was thirsty	er hatte durst
he went abroad	er ging ins ausland
he went to bed	er ist ins bett gegangen
he went to bed	er ging ins bett
he went to bed	er legte sich ins bett
he will not go	er wird nicht gehen
he worked hard	er hat hart gearbeitet
he worked hard	er arbeitete hart
hes a big boy	er ist ein groer junge
hes a bit shy	er ist ein bisschen schuchtern
hes a butcher	er ist fleischhauer
hes a fanatic	er ist ein fanatiker
hes a gambler	er ist ein spieler
hes a man now	er ist jetzt ein mann
hes a samurai	er ist ein samurai
hes a slacker	er ist ein faulpelz
hes a yesman	er ist ein jasager
hes all right	er macht es gut
hes an animal	er ist ein tier
hes an author	er ist autor
hes an author	er ist schriftsteller
hes an excon	er ist ein exknacki
hes an outlaw	er ist ein gesetzloser
hes henpecked	er ist ein pantoffelheld
hes in danger	er ist in gefahr
hes in prison	er ist im gefangnis
hes just evil	er ist einfach nur bose
hes just evil	er ist schlichtweg bose
hes my father	er ist mein vater
hes no doctor	er ist kein arzt
hes not ready	er ist nicht bereit
hes too drunk	er ist zu betrunken
hes uninsured	er ist nicht versichert
hes uninsured	er ist unversichert
hes very fast	er ist sehr schnell
hello everyone	hallo zusammen
hello everyone	hallo alle zusammen
hello everyone	hallo alle miteinander
hello im tom	hallo ich bin tom
help tom study	hilf tom beim lernen
help tom study	helfen sie tom beim lernen
here comes tom	hier ist tom
here comes tom	hier kommt tom
here is my key	hier ist mein schlussel
here they come	da kommen sie
heres my card	hier ist meine karte
heres the bus	da ist der bus
heres the car	hier ist das auto
heres the key	hier ist der schlussel
here try this	hier probier das mal
hey come here	hey komm her
hi come on in	hallo komm rein
hide the money	versteck das geld
hide the money	verstecke das geld
hide the money	versteckt das geld
hide the money	verstecken sie das geld
his head ached	er hatte kopfweh
his head ached	er hatte kopfschmerzen
his son is ill	sein sohn ist krank
hit the brakes	tritt auf die bremse
hit the brakes	treten sie auf die bremse
how am i doing	wie mach ich mich
how are things	wie steht es
how can i help	wie kann ich mich nutzlich machen
how cold is it	wie kalt ist es
how deep is it	wie tief ist es
how deep is it	wie tief ist das
how did it end	wie ging es aus
how did you do	wie hast du abgeschnitten
how disgusting	wie ekelhaft
how do i do it	wie mache ich das
how do we look	wie sieht es fur uns aus
how do we look	was machen wir fur einen eindruck
how high is it	wie hoch ist es
how high is it	welche hohe hat es
how is tom now	wie geht es tom jetzt
how is it made	wie wird es gemacht
how is it made	wie wird sie gemacht
how is it made	wie wird er gemacht
how late is it	wie spat ist es
how long is it	wie lang ist es
how lucky i am	was habe ich fur ein gluck
how much is it	wie viel kostet es
how old is tom	wie alt ist tom
how perceptive	wie scharfsinnig
how tall is he	wie gro ist er
how time flies	wie die zeit vergeht
how was boston	wie war boston
how wide is it	wie breit ist es
hows the wife	wie gehts der frau
hows your dad	wie geht es deinem vater
hows your dad	wie geht es eurem vater
hows your dad	wie geht es ihrem vater
hurry up guys	beeilt euch leute
i accept gifts	ich nehme geschenke entgegen
i accept gifts	ich nehme geschenke an
i almost cried	ich hatte fast geheult
i already know	das wei ich schon
i already know	das ist mir bereits bekannt
i am hungarian	ich bin ungar
i am hungarian	ich bin ungarin
i am a redhead	ich bin ein rotschopf
i am a shy boy	ich bin ein schuchterner junge
i am a student	ich bin ein student
i am a student	ich bin student
i am a student	ich bin studentin
i am a teacher	ich bin lehrer
i am a teacher	ich bin lehrerin
i am an artist	ich bin ein kunstler
i am an artist	ich bin kunstler
i am in london	ich bin in london
i am in london	ich befinde mich in london
i am off today	ich habe heute frei
i am too short	ich bin zu klein
i am very tall	ich bin sehr gro
i ate a danish	ich habe ein teilchen gegessen
i ate a banana	ich habe eine banane gegessen
i ate an apple	ich habe einen apfel gegessen
i ate too much	ich habe zu viel gegessen
i became angry	ich wurde wutend
i became angry	ich wurde bose
i began to cry	ich fing an zu weinen
i believed tom	ich habe tom geglaubt
i believed you	ich habe dir geglaubt
i believed you	ich glaubte ihnen
i bet it works	ich wette es funktioniert
i bet it works	ich wette es klappt
i betrayed you	ich habe dich verraten
i betrayed you	ich habe sie verraten
i betrayed you	ich verriet sie
i bike to work	ich fahre mit dem fahrrad zur arbeit
i bike to work	ich fahre mit dem rad zur arbeit
i blame myself	ich mache mich selbst dafur verantwortlich
i borrow money	ich leihe mir geld
i bought a car	ich habe ein auto gekauft
i bought a car	ich habe mir ein auto gekauft
i bought a hat	ich kaufte einen hut
i broke my arm	ich brach mir den arm
i broke my leg	ich habe mir das bein gebrochen
i came for tom	ich kam wegen tom
i came for tom	ich bin fur tom gekommen
i came for tom	ich bin statt tom gekommen
i came for you	ich bin wegen dir gekommen
i came for you	ich bin deinetwegen gekommen
i can beat tom	ich kann tom schlagen
i can fix this	ich kann das reparieren
i can fix this	ich kann das beheben
i can prove it	ich kann es beweisen
i cant get in	ich komme nicht hinein
i cant get up	ich kann nicht aufstehen
i cant see it	ich kann ihn nicht sehen
i cant see it	ich kann sie nicht sehen
i cant use it	ich habe keine verwendung dafur
i cant use it	ich kann es nicht gebrauchen
i cook for tom	ich koche fur tom
i count on tom	ich zahle auf tom
i deserve more	ich habe mehr verdient
i despised tom	ich habe tom verachtet
i did warn you	ich habe dich ja gewarnt
i did warn you	ich habe euch ja gewarnt
i did warn you	ich habe sie ja gewarnt
i didnt cheat	ich habe nicht geschummelt
i didnt drive	ich bin nicht gefahren
i didnt flunk	ich bin nicht durchgefallen
i didnt laugh	ich habe nicht gelacht
i didnt study	ich habe nicht studiert
i dislike eggs	ich mag keine eier
i do that too	das mache ich auch
i dont gamble	ich treibe kein glucksspiel
i dont get it	ich verstehe es nicht
i dont get it	ich verstehe das nicht
i dont get it	das kapier ich nicht
i dont see it	ich sehe es nicht
i drank a beer	ich habe ein bier getrunken
i drank coffee	ich trank kaffee
i drank coffee	ich habe kaffee getrunken
i drink coffee	ich trinke kaffee
i eat tomatoes	ich esse tomaten
i enjoyed that	das hat mir spa gemacht
i fear nothing	ich habe vor nichts angst
i fear nothing	ich furchte mich vor nichts
i fear nothing	ich furchte nichts
i feel cheated	ich fuhle mich ubers ohr gehauen
i feel seasick	ich bin seekrank
i feel so cold	mir ist so kalt
i feel so lost	ich fuhle mich so verloren
i fell in love	ich habe mich verliebt
i followed him	ich folgte ihm
i followed you	ich bin dir gefolgt
i followed you	ich bin euch gefolgt
i followed you	ich bin ihnen gefolgt
i gave my word	ich habe mein wort gegeben
i get off here	ich steige hier aus
i get up early	ich stehe fruh auf
i get up early	ich bin fruhaufsteher
i give my word	ich gebe mein wort
i go to church	ich gehe zur kirche
i go to school	ich gehe in die schule
i go to school	ich gehe zur schule
i got divorced	ich bin geschieden
i got up early	ich bin fruh aufgestanden
i got you this	das habe ich dir mitgebracht
i guarantee it	ich garantiere es
i had a stroke	ich hatte einen schlaganfall
i had fun here	ich hatte spa hier
i had jeans on	ich trug eine nietenhose
i had jeans on	ich hatte eine nietenhose an
i had some fun	ich hatte spa
i had to agree	ich musste zustimmen
i had to leave	ich musste gehen
i had to leave	ich musste weg
i hailed a cab	ich habe ein taxi gerufen
i hailed a cab	ich habe ein taxi herbeigewinkt
i hailed a cab	ich habe ein taxi herbeigewunken
i hate mondays	ich hasse den montag
i hate mondays	ich kann montage nicht ausstehen
i hate tom now	jetzt hasse ich tom
i hate dancing	ich hasse es zu tanzen
i hate driving	fahren ist absolut nicht mein ding
i hate driving	ich kann fahren nicht ab
i hate her now	ich hasse sie jetzt
i hate insects	ich hasse insekten
i hate ironing	ich hasse bugeln
i hate karaoke	ich hasse karaoke
i hate lawyers	ich hasse juristen
i hate lawyers	ich kann juristen nicht ausstehen
i hate my life	ich hasse mein leben
i hate parties	ich hasse partys
i hate riddles	ich hasse ratsel
i hate spiders	ich hasse spinnen
i hate spinach	ich hasse spinat
i hate to lose	ich hasse es zu verlieren
i hate working	ich hasse arbeiten
i hate you all	ich hasse euch alle
i hated school	ich habe die schule gehasst
i have cats	ich habe dreizehn katzen
i have a beard	ich habe einen bart
i have a dream	ich habe einen traum
i have a fever	ich habe fieber
i have a horse	ich habe ein pferd
i have a hunch	ich habe da so eine ahnung
i have a radio	ich habe ein radio
i have a table	ich habe einen tisch
i have a truck	ich habe einen pickup
i have a truck	ich habe einen laster
i have a truck	ich habe einen lastwagen
i have a truck	ich habe einen lkw
i have a truck	ich habe einen camion
i have amnesia	ich habe mein gedachtnis verloren
i have amnesia	ich habe gedachtnisverlust
i have an idea	ich habe eine idee
i have friends	ich habe freunde
i have no clue	ich habe keine ahnung
i have no home	ich habe kein haus
i have no idea	ich habe keine ahnung
i have no kids	ich habe keine kinder
i have no wife	ich habe keine ehefrau
i have one kid	ich habe ein kind
i have sisters	ich habe schwestern
i have the key	ich habe den schlussel
i have to help	ich muss helfen
i have to hide	ich muss mich verstecken
i have to know	ich muss das wissen
i have to rest	ich muss mich ausruhen
i have to stop	ich muss aufhoren
i have to wait	ich muss warten
i have to work	ich muss arbeiten
i hope so too	das hoffe ich auch
i hope you die	ich hoffe du stirbst
i hope you win	ich hoffe dass du gewinnen wirst
i hurried home	ich eilte nach hause
i hurried home	ich ging schnell heim
i hurt my foot	ich habe mich am fu verletzt
i just arrived	ich bin gerade angekommen
i just gave up	ich habe einfach aufgegeben
i just guessed	ich habe nur geraten
i just met him	ich habe ihn gerade getroffen
i just saw tom	ich habe gerade tom gesehen
i keep a diary	ich fuhre tagebuch
i kept my word	ich hielt mein wort
i kept my word	ich habe mein wort gehalten
i kept running	ich lief weiter
i kept the dog	ich habe den hund behalten
i know it well	ich wei wie es ist
i know the boy	ich kenne den jungen
i know the way	ich kenne den weg
i learn french	ich lerne franzosisch
i left my wife	ich habe meine frau verlassen
i let you down	ich habe dich enttauscht
i let you down	ich habe euch enttauscht
i let you down	ich habe sie enttauscht
i like english	ich mag englisch
i like castles	ich mag schlosser
i like cookies	ich esse gerne kekse
i like drawing	ich zeichne gern
i like fishing	ich angle gern
i like fishing	ich fische gern
i like it here	mir gefallt es hier
i like it too	ich mag es auch
i like ketchup	ich mag ketchup
i like lettuce	ich mag salat
i like lettuce	salat mag ich
i like mahjong	ich mag mahjong
i like mahjong	ich liebe mahjongg
i like my bike	mein fahrrad hab ich ins herz geschlossen
i like my life	ich mag mein leben
i like noodles	ich mag nudeln
i like oysters	ich mag austern
i like reading	ich lese gerne
i like running	ich gehe gerne joggen
i like running	ich laufe gern
i like sashimi	ich mag saschimi
i like seafood	ich mag meeresfruchte
i like singing	ich singe gerne
i like singing	ich singe gern
i like spinach	ich mag spinat
i like stories	ich mag geschichten
i like talking	ich unterhalte mich gern
i like the dog	ich mag den hund
i like the sun	ich mag die sonne
i like to cook	ich koche gern
i like to fish	ich angel gern
i like to hunt	ich gehe gern jagen
i like to read	ich lese gerne
i like to sing	ich singe gerne
i like to sing	ich singe gern
i like to swim	ich schwimme gern
i like to talk	ich rede gern
i like to walk	ich gehe gerne laufen
i like to walk	ich gehe gerne spazieren
i like to walk	ich gehe gerne zu fu
i like to work	ich arbeite gerne
i like turtles	ich mag schildkroten
i like walking	ich gehe gerne zu fu
i like working	ich arbeite gerne
i like writing	ich mag schreiben
i lost the bet	ich habe die wette verloren
i lost the bet	ich verlor die wette
i love harvard	ich liebe harvard
i love almonds	ich liebe mandeln
i love animals	ich liebe tiere
i love bananas	ich liebe bananen
i love carrots	ich liebe karotten
i love cooking	ich liebe kochen
i love dessert	ich liebe nachtisch
i love driving	ich fahre fur mein leben gern
i love flowers	ich liebe blumen
i love his son	ich liebe seinen sohn
i love it here	ich liebe es hier
i love lasagna	ich liebe lasagne
i love my city	ich liebe meine stadt
i love my home	ich liebe mein haus
i love my home	ich liebe mein zuhause
i love my ipod	ich liebe meinen ipod
i love my life	ich liebe mein leben
i love my wife	ich liebe meine frau
i love parties	ich liebe partys
i love puzzles	ich liebe puzzles
i love reading	ich liebe das lesen
i love sunsets	ich liebe sonnenuntergange
i love the sea	ich liebe das meer
i love to cook	ich koche sehr gerne
i love to read	ich lese sehr gern
i love to swim	ich schwimme sehr gern
i love winning	ich liebe es zu gewinnen
i love you all	ich liebe euch alle
i loved boston	ich liebte boston
i loved school	ich liebte die schule
i made cookies	ich habe kekse gebacken
i made her cry	ich brachte sie zum weinen
i made him cry	ich brachte ihn zum weinen
i made that up	ich habe das erfunden
i may be wrong	ich konnte mich irren
i may know tom	ich konnte tom kennen
i may know tom	tom konnte mir bekannt sein
i may not come	ich komme vielleicht nicht
i may not come	ich darf nicht kommen
i met tom here	ich traf tom hier
i met a friend	ich habe einen freund getroffen
i met him once	ich habe ihn einmal getroffen
i miss college	ich vermisse die universitat
i miss you all	ich vermisse euch alle
i miss you all	ihr fehlt mir alle
i must buy one	ich muss einen kaufen
i must buy one	ich muss eine kaufen
i must buy one	ich muss eins kaufen
i must decline	ich muss ablehnen
i must find it	ich muss es finden
i need tom now	ich brauche tom jetzt
i need tom now	ich brauche jetzt tom
i need a broom	ich brauche einen besen
i need a favor	ich muss um einen gefallen bitten
i need a hobby	ich brauche ein hobby
i need a medic	ich brauche einen arzt
i need a smoke	ich brauche eine zigarette
i need a stamp	ich brauche eine briefmarke
i need a towel	ich brauche ein handtuch
i need answers	ich benotige antworten
i need friends	ich brauche freunde
i need privacy	ich brauche privatsphare
i need support	ich brauche unterstutzung
i need surgery	ich muss operiert werden
i need to know	ich muss es wissen
i need to stop	ich muss aufhoren
i need to swim	ich muss schwimmen
i need to work	ich muss arbeiten
i often hiccup	ich habe oft einen schluckauf
i often hiccup	ich hickse oft
i often travel	ich reise oft
i owe him	ich schulde ihm
i own this car	ich besitze dieses auto
i own this car	das auto gehort mir
i paid in cash	ich bezahlte in bar
i paid nothing	ich habe nichts bezahlt
i pay tom well	ich bezahle tom gut
i pay tom well	tom bezahle ich gut
i pay my taxes	ich zahle meine steuern
i plead guilty	ich bekenne mich schuldig
i prefer black	mir ist schwarz lieber
i promised tom	ich habe es tom versprochen
i quit smoking	ich habe mit dem rauchen aufgehort
i raise cattle	ich zuchte vieh
i ran upstairs	ich lief nach oben
i remember tom	ich erinnere mich an tom
i remember her	ich erinnere mich an sie
i said get out	ich sagte raus
i said get out	ich sagte geh raus
i said get out	ich sagte geh raus
i said get out	ich hab gesagt macht dass ihr rauskommt
i said go home	ich sagte geht nach hause
i said goodbye	ich verabschiedete mich
i said not now	ich habe gesagt nicht jetzt
i said nothing	ich sagte nichts
i said shut up	ich sagte du sollst den mund halten
i said stop it	ich sagte hort auf
i said take it	ich sagte nimm
i saw five men	ich sah manner
i saw her home	ich habe sie nach hause gebracht
i saw her swim	ich habe sie schwimmen gesehen
i saw it first	ich habe es zuerst gesehen
i saw it on tv	ich habs im fernsehen gesehen
i saw somebody	ich sah jemanden
i saw that one	ich habe einen gesehen
i saw the cook	ich sah die kochin
i saw the cook	ich sah den koch
i saw the news	ich sah die nachrichten
i saw them all	ich habe sie alle gesehen
i see the book	ich sehe das buch
i sell flowers	ich verkaufe blumen
i serve no one	ich diene niemandem
i smell coffee	ich rieche kaffee
i sneeze a lot	ich niese oft
i speak french	ich spreche franzosisch
i study french	ich studiere franzosisch
i study korean	ich studiere koreanisch
i study korean	ich lerne koreanisch
i study abroad	ich studiere im ausland
i sure am cold	mir ist in der tat kalt
i take it back	ich nehme es zuruck
i teach french	ich gebe franzosischunterricht
i teach french	ich unterrichte franzosisch
i think im ok	ich denke mir geht es gut
i thought hard	ich dachte grundlich nach
i told tom why	ich nannte tom den grund
i took a break	ich machte eine pause
i travel a lot	ich reise viel
i travel light	ich reise mit wenig gepack
i trusted them	ich habe ihnen vertraut
i turned right	ich bog rechts ab
i usually walk	normalerweise gehe ich zu fu
i walked alone	ich ging allein
i want a chair	ich will einen stuhl
i want a drink	ich mochte etwas zu trinken
i want a glass	ich hatte gern ein glas
i want a puppy	ich will einen hundewelpen
i want a raise	ich will eine gehaltserhohung
i want justice	ich will gerechtigkeit
i want popcorn	ich mochte popcorn
i want revenge	ich will rache
i want the fan	ich mochte den ventilator haben
i want to come	ich will kommen
i want to help	ich will helfen
i want to know	ich mochte es wissen
i want to live	ich will leben
i want to play	ich will spielen
i want to quit	ich will aufhoren
i want to quit	ich will kundigen
i want to sing	ich mochte singen
i want to stay	ich will bleiben
i want to work	ich will arbeiten
i was all ears	ich war ganz ohr
i was captured	ich wurde gefangen
i was confused	ich war verwirrt
i was confused	ich war durcheinander
i was coughing	ich hustete
i was dreaming	ich war am traumen
i was homesick	ich hatte heimweh
i was off duty	ich hatte frei
i was on leave	ich war auf urlaub
i was outdoors	ich war drauen
i was poisoned	ich wurde vergiftet
i was poisoned	ich bin vergiftet worden
i was sleeping	ich schlief
i was so happy	ich war so glucklich
i was sweating	ich habe geschwitzt
i was too fast	ich war zu schnell
i was tortured	ich wurde gefoltert
i was upstairs	ich war oben
i wasnt alone	ich war nicht allein
i wasnt drunk	ich war nicht betrunken
i wasnt hired	ich wurde nicht genommen
i wasnt hired	ich wurde nicht angeheuert
i wasnt ready	ich war nicht bereit
i wasnt there	ich war nicht da
i wear glasses	ich bin brillentrager
i wear glasses	ich trage eine brille
i went fishing	ich bin angeln gegangen
i will prosper	es wird mir gut gehen
i will sue you	ich werde dich anzeigen
i will sue you	ich werde dich verklagen
i will survive	ich werde uberleben
i will take it	ich nehme es
i wont forget	ich werde nicht vergessen
i wont return	ich werde nicht wiederkommen
i work at home	ich arbeite zuhause
i worked at it	ich habe daran gearbeitet
i wrote to tom	ich habe tom geschrieben
id be careful	ich ware vorsichtig
id like to go	ich wurde gerne gehen
id love to go	ich wurde sehr gerne hingehen
ill bring tom	ich werde tom mitbringen
ill carry you	ich werde dich tragen
ill come back	ich werde zuruckkommen
ill come down	ich werde runterkommen
ill come home	ich werde nach hause kommen
ill come over	ich komme ruber
ill come too	ich werde auch kommen
ill do it now	ich mach das jetzt
ill get a cab	ich nehme ein taxi
ill get ready	ich mache mich fertig
ill get these	ich werde diese bekommen
ill get to it	ich werde mich drum kummern
ill get to it	ich werde gleich dazu kommen
ill go by bus	ich werde mit dem bus hinfahren
ill go by car	ich werde mit dem auto fahren
ill go get it	ich werde es holen
ill go get it	ich geh und hol es
ill go see it	ich werde es mir ansehen
ill go to tom	ich werde zu tom gehen
ill handle it	ich werde mich drum kummern
ill miss that	ich werde das vermissen
ill miss that	das wird mir fehlen
ill move soon	ich werde bald umziehen
ill pay later	ich werde spater bezahlen
ill pay later	ich zahle spater
ill phone you	ich werde dich anrufen
ill phone you	ich werde sie anrufen
ill phone you	ich werde euch anrufen
ill pray hard	ich werde viel beten
ill risk that	ich gehe das risiko ein
ill scold him	ich werde mit ihm schimpfen
ill see to it	ich werde mich darum kummern
ill see to it	ich bringe das in ordnung
ill shoot you	ich werde dich erschieen
ill stay here	ich bleibe hier
ill stay home	ich werde zuhause bleiben
ill take that	ich nehme das
ill teach tom	ich werde tom unterrichten
ill thank tom	ich werde tom danken
ill treat you	ich werde dich einladen
ill try again	ich werde es wieder versuchen
ill try again	ich versuche es noch mal
ill walk home	ich gehe zu fu nach hause
ill watch tom	ich werde tom beobachten
ill work hard	ich werde mich anstrengen
im ok with it	ich bin damit einverstanden
im toms aunt	ich bin toms tante
im a canadian	ich bin kanadier
im a beginner	ich bin anfangerin
im a beginner	ich bin anfanger
im a bit late	ich bin ein bisschen spat dran
im a botanist	ich bin botaniker
im a botanist	ich bin botanikerin
im a busy guy	ich habe viel zu tun
im a busy guy	ich bin sehr beschaftigt
im a diabetic	ich bin diabetiker
im a diabetic	ich bin diabetikerin
im a free man	ich bin ein freier mann
im a good boy	ich bin ein guter junge
im a musician	ich bin musiker
im a musician	ich bin musikerin
im a nice guy	ich bin ein netter typ
im a pacifist	ich bin pazifist
im a pacifist	ich bin pazifistin
im a prisoner	ich bin ein strafgefangener
im a prisoner	ich bin eine strafgefangene
im a prisoner	ich bin ein gefangener
im a prisoner	ich bin eine gefangene
im a rich man	ich bin ein reicher mann
im a salesman	ich bin verkaufer
im a salesman	ich bin handelsvertreter
im a salesman	ich bin vertreter
im a stuntman	ich bin stuntman
im a teenager	ich bin ein teenager
im a weakling	ich bin ein schwachling
im afraid not	ich furchte nein
im afraid not	leider nicht
im against it	ich bin dagegen
im an atheist	ich bin atheist
im an officer	ich bin ein offizier
im an officer	ich bin ein polizist
im an old man	ich bin ein alter mann
im behind you	ich bin hinter dir
im being used	ich werde ausgenutzt
im bored too	ich langweile mich auch
im bored too	mir ist auch langweilig
im busy today	ich bin heute beschaftigt
im called tom	ich heie tom
im dead tired	ich bin todmude
im devastated	ich bin am boden zerstort
im doing fine	mir gehts gut
im doing fine	mir geht es gut
im doing fine	es geht mir gut
im doing okay	mir geht es gut
im doing well	es geht mir gut
im downstairs	ich bin unten
im eating now	ich esse gerade
im farsighted	ich bin weitsichtig
im fascinated	ich bin fasziniert
im free today	ich habe heute frei
im free today	heute habe ich zeit
im getting by	ich komme durch
im going back	ich gehe zuruck
im going bald	ich bekomme eine glatze
im going home	ich geh nach hause
im going home	ich bin auf dem weg nach hause
im going home	ich gehe nach hause
im going too	ich gehe auch
im happy here	ich bin glucklich hier
im happy too	ich bin auch glucklich
im having fun	ich hab meinen spa
im having fun	ich amusiere mich
im here again	ich bin wieder hier
im hungry now	ich habe jetzt hunger
im illiterate	ich bin analphabet
im illiterate	ich bin analphabetin
im in a hurry	ich habe es eilig
im in the car	ich bin im auto
im in trouble	ich bin in schwierigkeiten
im interested	ich bin interessiert
im just lucky	ich habe einfach nur gluck
im mad at you	ich bin dir bose
im mad at you	ich bin sauer auf dich
im making tea	ich bereite den tee
im meditating	ich meditiere
im meditating	ich meditiere gerade
im no quitter	ich bin niemand der sofort aufgibt
im no quitter	so leicht gebe ich nicht auf
im not a baby	ich bin kein baby
im not a fool	ich bin kein dummkopf
im not a fool	ich bin nicht auf den kopf gefallen
im not a hero	ich bin kein held
im not a poet	ich bin kein dichter
im not a poet	ich bin kein poet
im not asleep	ich schlafe nicht
im not biased	ich habe keine vorurteile
im not biased	ich bin nicht voreingenommen
im not coming	ich komme nicht
im not crying	ich weine nicht
im not family	ich bin nicht von der familie
im not famous	ich bin nicht beruhmt
im not guilty	ich bin nicht schuldig
im not hiding	ich verstecke mich nicht
im not hungry	ich habe keinen hunger
im not joking	ich scherze nicht
im not sleepy	ich bin nicht mude
im not sleepy	ich bin nicht schlafrig
im often here	ich bin oft hier
im on holiday	ich habe ferien
im one of you	ich bin einer von euch
im one of you	ich bin eine von euch
im only human	ich bin nur ein mensch
im optimistic	ich bin optimistisch
im optimistic	ich bin ein optimist
im optimistic	ich bin optimist
im overweight	ich bin ubergewichtig
im overweight	ich habe ubergewicht
im overworked	ich bin uberarbeitet
im quite busy	ich bin ziemlich beschaftigt
im quite lazy	ich bin ziemlich faul
im quite well	ich fuhle mich ganz gut
im rather shy	ich bin ziemlich schuchtern
im reading it	ich lese es
im really old	ich bin wirklich alt
im so ashamed	ich schame mich so
im so excited	ich bin ja so aufgeregt
im so unlucky	was fur ein pech ich habe
im so unlucky	ich habe aber auch ein pech
im sorry tom	es tut mir leid tom
im still busy	ich bin immer noch beschaftigt
im still busy	ich hab immer noch zu tun
im still busy	ich bin noch beschaftigt
im successful	ich bin erfolgreich
im taking off	ich gehe
im taking off	ich fliege los
im taking off	ich fahre los
im the expert	ich bin der fachmann
im the expert	ich bin der mann vom fach
im the expert	ich bin vom fach
im the oldest	ich bin der alteste
im the oldest	ich bin die alteste
im thirty now	ich bin jetzt jahre alt
im thirty now	ich bin jetzt dreiig
im undressing	ich ziehe mich aus
im unemployed	ich bin arbeitslos
im untalented	ich bin untalentiert
im untalented	ich habe kein talent
im using this	ich verwende das
im using this	ich benutze das
im very happy	ich bin sehr glucklich
im very short	ich bin sehr klein
im very sorry	es tut mir sehr leid
im very tired	ich bin sehr mude
im very upset	ich bin sehr verargert
im very upset	ich bin sehr aufgebracht
im very upset	ich bin sehr besturzt
im wide awake	ich bin hellwach
ive been seen	ich bin gesehen worden
ive been shot	ich bin angeschossen worden
ive been shot	man hat mich angeschossen
ive found tom	ich habe tom gefunden
ive got a job	ich habe eine arbeit
ive got money	ich habe geld
ive got plans	ich habe plane
ive got proof	ich habe beweise
ive lost hope	ich habe die hoffnung verloren
ive made stew	ich habe eintopf gemacht
ive moved out	ich bin ausgezogen
ive remarried	ich habe wieder geheiratet
ive seen that	das habe ich schon gesehen
ive seen them	ich habe sie gesehen
is tom adopted	tom ist adoptiert
is tom in pain	hat tom schmerzen
is tom jealous	ist tom eifersuchtig
is tom married	ist tom verheiratet
is tom nervous	ist tom nervos
is tom outside	ist tom drauen
is tom retired	ist tom im ruhestand
is tom serious	ist es tom ernst
is tom singing	singt tom
is tom smiling	lachelt tom
is tom with us	ist tom mit uns dabei
is tom working	arbeitet tom
is he american	ist er amerikaner
is he japanese	ist er japaner
is he a doctor	ist er ein arzt
is he a doctor	ist er arzt
is he sleeping	schlaft er
is it a secret	ist es ein geheimnis
is it a weapon	ist es eine waffe
is it far away	ist es weit weg
is it for here	mochten sie hier essen
is it in there	ist es da drin
is it in there	ist er da drin
is it in there	ist sie da drin
is it possible	ist es moglich
is it that bad	ist es schlimm
is it too late	ist es zu spat
is it worth it	ist es das wert
is she at home	ist sie zu hause
is she married	ist sie verheiratet
is that a bear	ist das ein bar
is that a bird	ist das ein vogel
is that a hint	ist das ein wink
is that coffee	ist das kaffee
is that for me	ist das fur mich
is that my hat	ist das mein hut
is that my mug	ist das mein becher
is that normal	ist das normal
is that so bad	ist das so schlecht
is there a fee	gibt es eine gebuhr
is this enough	reicht das
is this for me	ist das fur mich
is this normal	ist das normal
isnt tom cool	ist tom nicht cool
isnt tom cute	ist tom nicht su
isnt it black	ist es nicht schwarz
isnt it great	ist es nicht groartig
isnt that tom	ist das nicht tom
it all changed	es hat sich alles verandert
it costs a lot	das kostet eine menge
it didnt work	es hat nicht funktioniert
it doesnt fit	es passt nicht
it doesnt fit	er passt nicht
it doesnt fit	sie passt nicht
it gets better	es wird besser
it has to stop	es muss aufhoren
it has to stop	das muss aufhoren
it is saturday	es ist samstag
it is too late	es ist zu spat
it isnt there	es ist nicht da
it looks great	das sieht groartig aus
it makes sense	es macht sinn
it makes sense	es hat sinn
it may be true	es konnte wahr sein
it must be tom	es muss tom sein
it smells good	es riecht gut
it smells good	er riecht gut
it smells good	sie riecht gut
it sounds easy	das klingt einfach
it sounds easy	das klingt leicht
it sure is hot	es ist aber ganz schon hei
it tastes good	es ist lecker
it was a dream	es war ein traum
it was a mouse	das war eine maus
it was a mouse	es war eine maus
it was for tom	es war fur tom
it was my idea	das war meine idee
it was my plan	es war meine absicht
it was my turn	ich war an der reihe
it was nothing	nicht der rede wert
it was on sale	es stand zum verkauf an
it was on sale	sie stand zum verkauf an
